SN,Region,Site ID,Site Class,Snag Category,Sub Category,Snag Severity,Visit Date,Closing Date,Status,SnagFlag,Open Month,Closed Month
51,AUH,AUG4338,CLASS C,CIVIL,MAIN GATE FOUNDATION AND STOPPER NEED REPAIRING,MAJOR,2024-01-02,2025-12-18,CLOSED,CLOSED_UNIQUE,January-24,December-25
98262,AUH,AUH2918-1,CLASS A,CIVIL,BOUNDARY WALL DAMAGED,MINOR,2026-03-16,,OPEN,KEEP_OPEN,March-26,
115,AUH,AUG6054,CLASS C,CIVIL,SHELTER BASE NEEDS REPAIRING,MINOR,2024-01-29,2025-12-27,CLOSED,CLOSED_UNIQUE,January-24,December-25
133,AUH,AUG6051,CLASS C,CIVIL,TOWER FOUNDATION PAINT IS EXFOLIATED,MINOR,2024-01-30,2025-11-08,CLOSED,CLOSED_UNIQUE,January-24,November-25
134,AUH,AUG6051,CLASS C,CIVIL,BOUNDARY WALL DAMAGED,MINOR,2024-01-30,2025-11-08,CLOSED,CLOSED_UNIQUE,January-24,November-25
98225,AUH,AAN2625,CLASS C,CIVIL,BOUNDARY WALL PAINT WORK,MINOR,2026-03-17,,OPEN,KEEP_OPEN,March-26,
150,DXB,KFN2681,CLASS B,CIVIL,SHELTER ROOF REPAIR,MAJOR,2024-03-05,2025-10-21,CLOSED,CLOSED_UNIQUE,March-24,October-25
151,DXB,KFN2681,CLASS B,BATTERY,LOW CAPACITY,MINOR,2024-03-05,,OPEN,KEEP_OPEN,March-24,
154,DXB,FUJ3403,CLASS C,ACCESS,ROAD DAMAGED/4X4 REQUIREMENT,MINOR,2024-03-16,,OPEN,KEEP_OPEN,March-24,
162,AUH,AUH3819,CLASS C,CIVIL,SHELTER SUNSHADE FOUNDATION NEEDS REPAIRING,MINOR,2024-03-29,,OPEN,KEEP_OPEN,March-24,
94167,AUH,AAN2525,CLASS C,DC SYSTEM,RECTIFIER MODULE FAULTY,MINOR,2026-02-19,,OPEN,KEEP_OPEN,February-26,
